place,state_or_province,meeting_date,committee,doc_format,meeting_id,site_type,doc_type,url
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,minutes,
nassaufl,,,,video,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,mp3,nassaufl_granicus_None_None_None,granicus,audio,
nassaufl,,,,mp4,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda_packet,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,minutes,
nassaufl,,,,video,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,mp3,nassaufl_granicus_None_None_None,granicus,audio,
nassaufl,,,,mp4,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda_packet,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      09:00 AM",DEVELOPMENT REVIEW COMMITTEE,pdf,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                          -
                                                      09:00 AM_None",granicus,agenda,//nassaufl.granicus.com/AgendaViewer.php?view_id=2&event_id=876
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      09:00 AM",DEVELOPMENT REVIEW COMMITTEE,pdf,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                          -
                                                      09:00 AM_None",granicus,minutes,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      09:00 AM",DEVELOPMENT REVIEW COMMITTEE,video,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                          -
                                                      09:00 AM_None",granicus,video,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      09:00 AM",DEVELOPMENT REVIEW COMMITTEE,mp3,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                          -
                                                      09:00 AM_None",granicus,audio,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      09:00 AM",DEVELOPMENT REVIEW COMMITTEE,mp4,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                          -
                                                      09:00 AM_None",granicus,video,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      09:00 AM",DEVELOPMENT REVIEW COMMITTEE,pdf,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                          -
                                                      09:00 AM_None",granicus,agenda_packet,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      06:00 PM",NASSAU COUNTY PLANNING AND ZONING BOARD,pdf,"nassaufl_granicus_NASSAU COUNTY PLANNING AND ZONING BOARD_Jul  7, 2020
                                                                          -
                                                      06:00 PM_None",granicus,agenda,//nassaufl.granicus.com/AgendaViewer.php?view_id=2&event_id=995
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      06:00 PM",NASSAU COUNTY PLANNING AND ZONING BOARD,pdf,"nassaufl_granicus_NASSAU COUNTY PLANNING AND ZONING BOARD_Jul  7, 2020
                                                                          -
                                                      06:00 PM_None",granicus,minutes,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      06:00 PM",NASSAU COUNTY PLANNING AND ZONING BOARD,video,"nassaufl_granicus_NASSAU COUNTY PLANNING AND ZONING BOARD_Jul  7, 2020
                                                                          -
                                                      06:00 PM_None",granicus,video,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      06:00 PM",NASSAU COUNTY PLANNING AND ZONING BOARD,mp3,"nassaufl_granicus_NASSAU COUNTY PLANNING AND ZONING BOARD_Jul  7, 2020
                                                                          -
                                                      06:00 PM_None",granicus,audio,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      06:00 PM",NASSAU COUNTY PLANNING AND ZONING BOARD,mp4,"nassaufl_granicus_NASSAU COUNTY PLANNING AND ZONING BOARD_Jul  7, 2020
                                                                          -
                                                      06:00 PM_None",granicus,video,
nassaufl,,"Jul  7, 2020
                                                                          -
                                                      06:00 PM",NASSAU COUNTY PLANNING AND ZONING BOARD,pdf,"nassaufl_granicus_NASSAU COUNTY PLANNING AND ZONING BOARD_Jul  7, 2020
                                                                          -
                                                      06:00 PM_None",granicus,agenda_packet,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,minutes,
nassaufl,,,,video,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,mp3,nassaufl_granicus_None_None_None,granicus,audio,
nassaufl,,,,mp4,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda_packet,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,minutes,
nassaufl,,,,video,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,mp3,nassaufl_granicus_None_None_None,granicus,audio,
nassaufl,,,,mp4,nassaufl_granicus_None_None_None,granicus,video,
nassaufl,,,,pdf,nassaufl_granicus_None_None_None,granicus,agenda_packet,
nassaufl,,"Jul  7, 2020
                                                                                                                                      -
                                                                                              09:03 AM",DEVELOPMENT REVIEW COMMITTEE,pdf,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                                                                                      -
                                                                                              09:03 AM_00h 11m",granicus,agenda,//nassaufl.granicus.com/AgendaViewer.php?view_id=2&clip_id=985
nassaufl,,"Jul  7, 2020
                                                                                                                                      -
                                                                                              09:03 AM",DEVELOPMENT REVIEW COMMITTEE,pdf,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                                                                                      -
                                                                                              09:03 AM_00h 11m",granicus,minutes,
nassaufl,,"Jul  7, 2020
                                                                                                                                      -
                                                                                              09:03 AM",DEVELOPMENT REVIEW COMMITTEE,video,"nassaufl_granicus_DEVELOPMENT REVIEW COMMITTEE_Jul  7, 2020
                                                                                                                                      -
                                                                                              09:03 AM_00h 11m",granicus,video,"window.open('//nassaufl.granicus.com/MediaPlayer.php?view_id=2&clip_id=985','player','toolbar=no,directories=no,status=yes,scrollbars=yes,resizable=yes,menubar=no,width=800,height=600')"
