,url,status_code,history,timestamp,error_msg
ab-banff.civicplus.com,https://banff.ca/,200,[<Response [302]>],2020-07-02T22:37:43.070347,
ab-banff2.civicplus.com,https://banff.ca/,200,[<Response [302]>],2020-07-02T22:37:43.922277,
ab-beaumont.civicplus.com,https://www.beaumont.ab.ca/,200,[<Response [302]>],2020-07-02T22:37:44.619726,
ab-blackdiamond.civicplus.com,http://ab-blackdiamond.civicplus.com/,200,[],2020-07-02T22:37:45.303254,
ab-bonnyville.civicplus.com,https://md.bonnyville.ab.ca/,200,[<Response [302]>],2020-07-02T22:37:46.319437,
ab-brooks.civicplus.com,http://ab-brooks.civicplus.com/,200,[],2020-07-02T22:37:46.772254,
ab-camrose.civicplus.com,http://ab-camrose.civicplus.com/,404,[],2020-07-02T22:37:46.917936,
ab-camrose2.civicplus.com,http://ab-camrose2.civicplus.com/,404,[],2020-07-02T22:37:47.051069,
ab-chestermere.civicplus.com,https://www.chestermere.ca/,200,[<Response [302]>],2020-07-02T22:37:47.891918,
ab-chestermere2.civicplus.com,https://www.chestermere.ca/,200,[<Response [302]>],2020-07-02T22:37:48.652824,
ab-cochrane.civicplus.com,https://www.cochrane.ca/,200,[<Response [302]>],2020-07-02T22:37:49.536724,
ab-cochrane2.civicplus.com,https://www.cochrane.ca/,200,[<Response [302]>],2020-07-02T22:37:50.352265,
ab-eckville.civicplus.com,http://ab-eckville.civicplus.com/,200,[],2020-07-02T22:37:50.767277,
ab-fortmacleod.civicplus.com,http://ab-fortmacleod.civicplus.com/,200,[],2020-07-02T22:37:50.919897,
ab-highlevel.civicplus.com,http://ab-highlevel.civicplus.com/,200,[],2020-07-02T22:37:51.369218,
ab-hinton.civicplus.com,https://www.hinton.ca/,200,[<Response [302]>],2020-07-02T22:37:52.324283,
ab-hinton2.civicplus.com,https://www.hinton.ca/,200,[<Response [302]>],2020-07-02T22:37:53.112692,
ab-hintoncalendar.civicplus.com,,,,,"HTTPConnectionPool(host='ab-hintoncalendar.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396b392c90>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
ab-hintoncommunity.civicplus.com,http://ab-hintoncommunity.civicplus.com/,200,[],2020-07-02T22:37:53.806060,
